REGION,FUEL,TIMESLICE,YEAR,VALUE
Simplicity2,ELECTRICITY,116,2010,0.00013036
Simplicity2,ELECTRICITY,117,2010,0.000132444
Simplicity2,ELECTRICITY,118,2010,0.00013495
Simplicity2,ELECTRICITY,119,2010,0.00012634
Simplicity2,ELECTRICITY,120,2010,0.000123036
Simplicity2,ELECTRICITY,121,2010,0.000115418
Simplicity2,ELECTRICITY,122,2010,0.000116606
Simplicity2,ELECTRICITY,123,2010,0.000117355
Simplicity2,ELECTRICITY,124,2010,0.000113986
Simplicity2,ELECTRICITY,125,2010,0.000109152
Simplicity2,ELECTRICITY,126,2010,0.000107768
Simplicity2,ELECTRICITY,127,2010,0.000117827
Simplicity2,ELECTRICITY,128,2010,0.000131809
Simplicity2,ELECTRICITY,129,2010,0.000140924
Simplicity2,ELECTRICITY,130,2010,0.000136562
Simplicity2,ELECTRICITY,131,2010,0.000137701
Simplicity2,ELECTRICITY,132,2010,0.000133241
Simplicity2,ELECTRICITY,133,2010,0.000133062
Simplicity2,ELECTRICITY,134,2010,0.000133485
Simplicity2,ELECTRICITY,135,2010,0.000130376
Simplicity2,ELECTRICITY,136,2010,0.000133518
Simplicity2,ELECTRICITY,137,2010,0.000140338
Simplicity2,ELECTRICITY,138,2010,0.000142844
Simplicity2,ELECTRICITY,139,2010,0.000141184
Simplicity2,ELECTRICITY,140,2010,0.000138075
Simplicity2,ELECTRICITY,141,2010,0.000138531
Simplicity2,ELECTRICITY,142,2010,0.000138222
Simplicity2,ELECTRICITY,143,2010,0.000120431
Simplicity2,ELECTRICITY,144,2010,0.000116492
Simplicity2,ELECTRICITY,145,2010,0.000107833
Simplicity2,ELECTRICITY,146,2010,0.000106303
Simplicity2,ELECTRICITY,147,2010,0.000106922
Simplicity2,ELECTRICITY,148,2010,0.00010378
Simplicity2,ELECTRICITY,149,2010,9.98087E-05
Simplicity2,ELECTRICITY,150,2010,0.000105733
Simplicity2,ELECTRICITY,151,2010,0.000113725
Simplicity2,ELECTRICITY,152,2010,0.000131418
Simplicity2,ELECTRICITY,153,2010,0.000134608
Simplicity2,ELECTRICITY,154,2010,0.000132818
Simplicity2,ELECTRICITY,155,2010,0.000128781
Simplicity2,ELECTRICITY,156,2010,0.00012774
Simplicity2,ELECTRICITY,157,2010,0.00012551
Simplicity2,ELECTRICITY,158,2010,0.000122824
Simplicity2,ELECTRICITY,159,2010,0.000123735
Simplicity2,ELECTRICITY,160,2010,0.000125086
Simplicity2,ELECTRICITY,161,2010,0.000135487
Simplicity2,ELECTRICITY,162,2010,0.000142405
Simplicity2,ELECTRICITY,163,2010,0.000140028
Simplicity2,ELECTRICITY,164,2010,0.000135357
Simplicity2,ELECTRICITY,165,2010,0.000135894
Simplicity2,ELECTRICITY,166,2010,0.00012743
Simplicity2,ELECTRICITY,167,2010,0.000116997
Simplicity2,ELECTRICITY,168,2010,0.000111463
Simplicity2,ELECTRICITY,169,2010,0.000107166
