REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
Simplicity2,WINDPOWER,1,2010,0.45788094
Simplicity2,WINDPOWER,2,2010,0.471134664
Simplicity2,WINDPOWER,3,2010,0.400986664
Simplicity2,WINDPOWER,4,2010,0.400982859
Simplicity2,WINDPOWER,5,2010,0.457354214
Simplicity2,WINDPOWER,6,2010,0.382943536
Simplicity2,WINDPOWER,7,2010,0.367589941
Simplicity2,WINDPOWER,8,2010,0.403980253
Simplicity2,WINDPOWER,9,2010,0.39247579
Simplicity2,WINDPOWER,10,2010,0.329342892
Simplicity2,WINDPOWER,11,2010,0.321603503
Simplicity2,WINDPOWER,12,2010,0.295472307
Simplicity2,WINDPOWER,13,2010,0.279943551
Simplicity2,WINDPOWER,14,2010,0.391460847
Simplicity2,WINDPOWER,15,2010,0.50599119
Simplicity2,WINDPOWER,16,2010,0.456140076
Simplicity2,WINDPOWER,17,2010,0.4335231
Simplicity2,WINDPOWER,18,2010,0.52378694
Simplicity2,WINDPOWER,19,2010,0.494454585
Simplicity2,WINDPOWER,20,2010,0.375319306
Simplicity2,WINDPOWER,21,2010,0.405466248
Simplicity2,WINDPOWER,22,2010,0.406006351
Simplicity2,WINDPOWER,23,2010,0.387384742
Simplicity2,WINDPOWER,24,2010,0.358904916
Simplicity2,WINDPOWER,25,2010,0.378441911
Simplicity2,WINDPOWER,26,2010,0.411091132
Simplicity2,WINDPOWER,27,2010,0.387492339
Simplicity2,WINDPOWER,28,2010,0.395392751
Simplicity2,WINDPOWER,29,2010,0.41824195
Simplicity2,WINDPOWER,30,2010,0.407478541
Simplicity2,WINDPOWER,31,2010,0.465779421
Simplicity2,WINDPOWER,32,2010,0.491444365
Simplicity2,WINDPOWER,33,2010,0.447811065
Simplicity2,WINDPOWER,34,2010,0.421732303
Simplicity2,WINDPOWER,35,2010,0.455204272
Simplicity2,WINDPOWER,36,2010,0.422175695
Simplicity2,WINDPOWER,37,2010,0.313447743
Simplicity2,WINDPOWER,38,2010,0.296780751
Simplicity2,WINDPOWER,39,2010,0.362388085
Simplicity2,WINDPOWER,40,2010,0.377801169
Simplicity2,WINDPOWER,41,2010,0.371608011
