REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
Simplicity2,WINDPOWER,1,2010,0.061225094
Simplicity2,WINDPOWER,2,2010,0
Simplicity2,WINDPOWER,3,2010,0
Simplicity2,WINDPOWER,4,2010,0
Simplicity2,WINDPOWER,5,2010,0
Simplicity2,WINDPOWER,6,2010,0
Simplicity2,WINDPOWER,7,2010,0
Simplicity2,WINDPOWER,8,2010,0
Simplicity2,WINDPOWER,9,2010,0
Simplicity2,WINDPOWER,10,2010,0
Simplicity2,WINDPOWER,11,2010,0
Simplicity2,WINDPOWER,12,2010,0
Simplicity2,WINDPOWER,13,2010,0
Simplicity2,WINDPOWER,14,2010,0
Simplicity2,WINDPOWER,15,2010,0
Simplicity2,WINDPOWER,16,2010,0
Simplicity2,WINDPOWER,17,2010,0
Simplicity2,WINDPOWER,18,2010,0.01986189
Simplicity2,WINDPOWER,19,2010,0.062012837
Simplicity2,WINDPOWER,20,2010,0.161404502
Simplicity2,WINDPOWER,21,2010,0.137536043
Simplicity2,WINDPOWER,22,2010,0.111694543
Simplicity2,WINDPOWER,23,2010,0.085433202
Simplicity2,WINDPOWER,24,2010,0.050881348
Simplicity2,WINDPOWER,25,2010,0.037140024
Simplicity2,WINDPOWER,26,2010,0
Simplicity2,WINDPOWER,27,2010,0
Simplicity2,WINDPOWER,28,2010,0
Simplicity2,WINDPOWER,29,2010,0
Simplicity2,WINDPOWER,30,2010,0
Simplicity2,WINDPOWER,31,2010,0
Simplicity2,WINDPOWER,32,2010,0
Simplicity2,WINDPOWER,33,2010,0
Simplicity2,WINDPOWER,34,2010,0
Simplicity2,WINDPOWER,35,2010,0
Simplicity2,WINDPOWER,36,2010,0
Simplicity2,WINDPOWER,37,2010,0
Simplicity2,WINDPOWER,38,2010,0
Simplicity2,WINDPOWER,39,2010,0
Simplicity2,WINDPOWER,40,2010,0
Simplicity2,WINDPOWER,41,2010,0
Simplicity2,WINDPOWER,42,2010,0.063944213
Simplicity2,WINDPOWER,43,2010,0.174507521
Simplicity2,WINDPOWER,44,2010,0.131151743
Simplicity2,WINDPOWER,45,2010,0.273688678
Simplicity2,WINDPOWER,46,2010,0.188914526
Simplicity2,WINDPOWER,47,2010,0.226818832
Simplicity2,WINDPOWER,48,2010,0.098139837
Simplicity2,WINDPOWER,49,2010,0.031179672
Simplicity2,WINDPOWER,50,2010,0
Simplicity2,WINDPOWER,51,2010,0
Simplicity2,WINDPOWER,52,2010,0
Simplicity2,WINDPOWER,53,2010,0
Simplicity2,WINDPOWER,54,2010,0
Simplicity2,WINDPOWER,55,2010,0
Simplicity2,WINDPOWER,56,2010,0
Simplicity2,WINDPOWER,57,2010,0
Simplicity2,WINDPOWER,58,2010,0
Simplicity2,WINDPOWER,59,2010,0
Simplicity2,WINDPOWER,60,2010,0
Simplicity2,WINDPOWER,61,2010,0
Simplicity2,WINDPOWER,62,2010,0
Simplicity2,WINDPOWER,63,2010,0
Simplicity2,WINDPOWER,64,2010,0
Simplicity2,WINDPOWER,65,2010,0
Simplicity2,WINDPOWER,66,2010,0.097977621
Simplicity2,WINDPOWER,67,2010,0.391746824
Simplicity2,WINDPOWER,68,2010,0.614831051
Simplicity2,WINDPOWER,69,2010,0.634237214
Simplicity2,WINDPOWER,70,2010,0.540325481
Simplicity2,WINDPOWER,71,2010,0.297034857
Simplicity2,WINDPOWER,72,2010,0.190969064
