REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
Simplicity2,WINDPOWER,190,2010,0
Simplicity2,WINDPOWER,191,2010,0
Simplicity2,WINDPOWER,192,2010,0
Simplicity2,WINDPOWER,193,2010,0
Simplicity2,WINDPOWER,194,2010,0
Simplicity2,WINDPOWER,195,2010,0
Simplicity2,WINDPOWER,196,2010,0
Simplicity2,WINDPOWER,197,2010,0
Simplicity2,WINDPOWER,198,2010,0
Simplicity2,WINDPOWER,199,2010,0
Simplicity2,WINDPOWER,200,2010,0
Simplicity2,WINDPOWER,201,2010,0.259246342
Simplicity2,WINDPOWER,202,2010,0.46301553
Simplicity2,WINDPOWER,203,2010,0.53168362
Simplicity2,WINDPOWER,204,2010,0.608439175
Simplicity2,WINDPOWER,205,2010,0.601891755
Simplicity2,WINDPOWER,206,2010,0.410874762
Simplicity2,WINDPOWER,207,2010,0.329315956
Simplicity2,WINDPOWER,208,2010,0.18249368
Simplicity2,WINDPOWER,209,2010,0
Simplicity2,WINDPOWER,210,2010,0
Simplicity2,WINDPOWER,211,2010,0
Simplicity2,WINDPOWER,212,2010,0
Simplicity2,WINDPOWER,213,2010,0
Simplicity2,WINDPOWER,214,2010,0
Simplicity2,WINDPOWER,215,2010,0
Simplicity2,WINDPOWER,216,2010,0
Simplicity2,WINDPOWER,217,2010,0
Simplicity2,WINDPOWER,218,2010,0
Simplicity2,WINDPOWER,219,2010,0
Simplicity2,WINDPOWER,220,2010,0
Simplicity2,WINDPOWER,221,2010,0
Simplicity2,WINDPOWER,222,2010,0
Simplicity2,WINDPOWER,223,2010,0
Simplicity2,WINDPOWER,224,2010,0
Simplicity2,WINDPOWER,225,2010,0.152671308
Simplicity2,WINDPOWER,226,2010,0.232753167
Simplicity2,WINDPOWER,227,2010,0.186240955
Simplicity2,WINDPOWER,228,2010,0.220834327
Simplicity2,WINDPOWER,229,2010,0.404482018
Simplicity2,WINDPOWER,230,2010,0.440366516
Simplicity2,WINDPOWER,231,2010,0.242161606
Simplicity2,WINDPOWER,232,2010,0.137591689
Simplicity2,WINDPOWER,233,2010,0
Simplicity2,WINDPOWER,234,2010,0
Simplicity2,WINDPOWER,235,2010,0
Simplicity2,WINDPOWER,236,2010,0
Simplicity2,WINDPOWER,237,2010,0
Simplicity2,WINDPOWER,238,2010,0
Simplicity2,WINDPOWER,239,2010,0
Simplicity2,WINDPOWER,240,2010,0
Simplicity2,WINDPOWER,241,2010,0
Simplicity2,WINDPOWER,242,2010,0
Simplicity2,WINDPOWER,243,2010,0
Simplicity2,WINDPOWER,244,2010,0
Simplicity2,WINDPOWER,245,2010,0
Simplicity2,WINDPOWER,246,2010,0
Simplicity2,WINDPOWER,247,2010,0
Simplicity2,WINDPOWER,248,2010,0
Simplicity2,WINDPOWER,249,2010,0.104663819
Simplicity2,WINDPOWER,250,2010,0.171213881
Simplicity2,WINDPOWER,251,2010,0.206107254
Simplicity2,WINDPOWER,252,2010,0.342580368
Simplicity2,WINDPOWER,253,2010,0.331691803
Simplicity2,WINDPOWER,254,2010,0.23215546
Simplicity2,WINDPOWER,255,2010,0.103416854
Simplicity2,WINDPOWER,256,2010,0.110263946
Simplicity2,WINDPOWER,257,2010,0
Simplicity2,WINDPOWER,258,2010,0
Simplicity2,WINDPOWER,259,2010,0
Simplicity2,WINDPOWER,260,2010,0
Simplicity2,WINDPOWER,261,2010,0
Simplicity2,WINDPOWER,262,2010,0
Simplicity2,WINDPOWER,263,2010,0
Simplicity2,WINDPOWER,264,2010,0
Simplicity2,WINDPOWER,265,2010,0
Simplicity2,WINDPOWER,266,2010,0
Simplicity2,WINDPOWER,267,2010,0
Simplicity2,WINDPOWER,268,2010,0
Simplicity2,WINDPOWER,269,2010,0
Simplicity2,WINDPOWER,270,2010,0
Simplicity2,WINDPOWER,271,2010,0
Simplicity2,WINDPOWER,272,2010,0
Simplicity2,WINDPOWER,273,2010,0.016724654
Simplicity2,WINDPOWER,274,2010,0.056818503
Simplicity2,WINDPOWER,275,2010,0.078138854
Simplicity2,WINDPOWER,276,2010,0.074313447
Simplicity2,WINDPOWER,277,2010,0.06274511
Simplicity2,WINDPOWER,278,2010,0.077380101
Simplicity2,WINDPOWER,279,2010,0.075121967
Simplicity2,WINDPOWER,280,2010,0.030603261
Simplicity2,WINDPOWER,281,2010,0
Simplicity2,WINDPOWER,282,2010,0
Simplicity2,WINDPOWER,283,2010,0
Simplicity2,WINDPOWER,284,2010,0
Simplicity2,WINDPOWER,285,2010,0
Simplicity2,WINDPOWER,286,2010,0
Simplicity2,WINDPOWER,287,2010,0
Simplicity2,WINDPOWER,288,2010,0
Simplicity2,WINDPOWER,289,2010,0
Simplicity2,WINDPOWER,290,2010,0
Simplicity2,WINDPOWER,291,2010,0
Simplicity2,WINDPOWER,292,2010,0
Simplicity2,WINDPOWER,293,2010,0
Simplicity2,WINDPOWER,294,2010,0
Simplicity2,WINDPOWER,295,2010,0
Simplicity2,WINDPOWER,296,2010,0
Simplicity2,WINDPOWER,297,2010,0.155088176
Simplicity2,WINDPOWER,298,2010,0.255744985
Simplicity2,WINDPOWER,299,2010,0.490001933
Simplicity2,WINDPOWER,300,2010,0.375067497
Simplicity2,WINDPOWER,301,2010,0.281513648
Simplicity2,WINDPOWER,302,2010,0.249959495
Simplicity2,WINDPOWER,303,2010,0.316664311
Simplicity2,WINDPOWER,304,2010,0.204651085
Simplicity2,WINDPOWER,305,2010,0
Simplicity2,WINDPOWER,306,2010,0
Simplicity2,WINDPOWER,307,2010,0
Simplicity2,WINDPOWER,308,2010,0
Simplicity2,WINDPOWER,309,2010,0
Simplicity2,WINDPOWER,310,2010,0
Simplicity2,WINDPOWER,311,2010,0
Simplicity2,WINDPOWER,312,2010,0
Simplicity2,WINDPOWER,313,2010,0
Simplicity2,WINDPOWER,314,2010,0
Simplicity2,WINDPOWER,315,2010,0
Simplicity2,WINDPOWER,316,2010,0
Simplicity2,WINDPOWER,317,2010,0
Simplicity2,WINDPOWER,318,2010,0
Simplicity2,WINDPOWER,319,2010,0
Simplicity2,WINDPOWER,320,2010,0
Simplicity2,WINDPOWER,321,2010,0.264358057
Simplicity2,WINDPOWER,322,2010,0.441442128
Simplicity2,WINDPOWER,323,2010,0.557192268
Simplicity2,WINDPOWER,324,2010,0.663539974
Simplicity2,WINDPOWER,325,2010,0.627509584
Simplicity2,WINDPOWER,326,2010,0.552622245
Simplicity2,WINDPOWER,327,2010,0.441124098
Simplicity2,WINDPOWER,328,2010,0.201989688
Simplicity2,WINDPOWER,329,2010,0
Simplicity2,WINDPOWER,330,2010,0
Simplicity2,WINDPOWER,331,2010,0
Simplicity2,WINDPOWER,332,2010,0
Simplicity2,WINDPOWER,333,2010,0
Simplicity2,WINDPOWER,334,2010,0
Simplicity2,WINDPOWER,335,2010,0
Simplicity2,WINDPOWER,336,2010,0
Simplicity2,WINDPOWER,337,2010,0
Simplicity2,WINDPOWER,338,2010,0
Simplicity2,WINDPOWER,339,2010,0
Simplicity2,WINDPOWER,340,2010,0
Simplicity2,WINDPOWER,341,2010,0
Simplicity2,WINDPOWER,342,2010,0
Simplicity2,WINDPOWER,343,2010,0
Simplicity2,WINDPOWER,344,2010,0
Simplicity2,WINDPOWER,345,2010,0.101687223
Simplicity2,WINDPOWER,346,2010,0.187043565
Simplicity2,WINDPOWER,347,2010,0.331554628
Simplicity2,WINDPOWER,348,2010,0.389450019
Simplicity2,WINDPOWER,349,2010,0.54549676
Simplicity2,WINDPOWER,350,2010,0.582860863
Simplicity2,WINDPOWER,351,2010,0.369428992
Simplicity2,WINDPOWER,352,2010,0.217807278
Simplicity2,WINDPOWER,353,2010,0
Simplicity2,WINDPOWER,354,2010,0
Simplicity2,WINDPOWER,355,2010,0
Simplicity2,WINDPOWER,356,2010,0
Simplicity2,WINDPOWER,357,2010,0
Simplicity2,WINDPOWER,358,2010,0
Simplicity2,WINDPOWER,359,2010,0
Simplicity2,WINDPOWER,360,2010,0
Simplicity2,WINDPOWER,361,2010,0
Simplicity2,WINDPOWER,362,2010,0
Simplicity2,WINDPOWER,363,2010,0
Simplicity2,WINDPOWER,364,2010,0
Simplicity2,WINDPOWER,365,2010,0
Simplicity2,WINDPOWER,366,2010,0
Simplicity2,WINDPOWER,367,2010,0
Simplicity2,WINDPOWER,368,2010,0
Simplicity2,WINDPOWER,369,2010,0.153676353
Simplicity2,WINDPOWER,370,2010,0.264948521
Simplicity2,WINDPOWER,371,2010,0.299873547
Simplicity2,WINDPOWER,372,2010,0.366633954
Simplicity2,WINDPOWER,373,2010,0.336736546
Simplicity2,WINDPOWER,374,2010,0.301792311
Simplicity2,WINDPOWER,375,2010,0.259551651
Simplicity2,WINDPOWER,376,2010,0.19241404
Simplicity2,WINDPOWER,377,2010,0
Simplicity2,WINDPOWER,378,2010,0
Simplicity2,WINDPOWER,379,2010,0
Simplicity2,WINDPOWER,380,2010,0
Simplicity2,WINDPOWER,381,2010,0
Simplicity2,WINDPOWER,382,2010,0
Simplicity2,WINDPOWER,383,2010,0
Simplicity2,WINDPOWER,384,2010,0
Simplicity2,WINDPOWER,385,2010,0
Simplicity2,WINDPOWER,386,2010,0
Simplicity2,WINDPOWER,387,2010,0
Simplicity2,WINDPOWER,388,2010,0
Simplicity2,WINDPOWER,389,2010,0
Simplicity2,WINDPOWER,390,2010,0
Simplicity2,WINDPOWER,391,2010,0
Simplicity2,WINDPOWER,392,2010,0
Simplicity2,WINDPOWER,393,2010,0.038090698
Simplicity2,WINDPOWER,394,2010,0.195707051
Simplicity2,WINDPOWER,395,2010,0.336731152
Simplicity2,WINDPOWER,396,2010,0.411341786
Simplicity2,WINDPOWER,397,2010,0.520833723
Simplicity2,WINDPOWER,398,2010,0.459740316
Simplicity2,WINDPOWER,399,2010,0.383828837
Simplicity2,WINDPOWER,400,2010,0.192702559
Simplicity2,WINDPOWER,401,2010,0
Simplicity2,WINDPOWER,402,2010,0
Simplicity2,WINDPOWER,403,2010,0
Simplicity2,WINDPOWER,404,2010,0
Simplicity2,WINDPOWER,405,2010,0
Simplicity2,WINDPOWER,406,2010,0
Simplicity2,WINDPOWER,407,2010,0
Simplicity2,WINDPOWER,408,2010,0
Simplicity2,WINDPOWER,409,2010,0
Simplicity2,WINDPOWER,410,2010,0
Simplicity2,WINDPOWER,411,2010,0
Simplicity2,WINDPOWER,412,2010,0
Simplicity2,WINDPOWER,413,2010,0
Simplicity2,WINDPOWER,414,2010,0
Simplicity2,WINDPOWER,415,2010,0
Simplicity2,WINDPOWER,416,2010,0
Simplicity2,WINDPOWER,417,2010,0.231618261
Simplicity2,WINDPOWER,418,2010,0.358124723
Simplicity2,WINDPOWER,419,2010,0.647933001
Simplicity2,WINDPOWER,420,2010,0.739058006
Simplicity2,WINDPOWER,421,2010,0.708118013
Simplicity2,WINDPOWER,422,2010,0.594921457
Simplicity2,WINDPOWER,423,2010,0.468392535
Simplicity2,WINDPOWER,424,2010,0.258359311
Simplicity2,WINDPOWER,425,2010,0
Simplicity2,WINDPOWER,426,2010,0
Simplicity2,WINDPOWER,427,2010,0
Simplicity2,WINDPOWER,428,2010,0
Simplicity2,WINDPOWER,429,2010,0
Simplicity2,WINDPOWER,430,2010,0
Simplicity2,WINDPOWER,431,2010,0
Simplicity2,WINDPOWER,432,2010,0
Simplicity2,WINDPOWER,433,2010,0
Simplicity2,WINDPOWER,434,2010,0
Simplicity2,WINDPOWER,435,2010,0
Simplicity2,WINDPOWER,436,2010,0
Simplicity2,WINDPOWER,437,2010,0
Simplicity2,WINDPOWER,438,2010,0
Simplicity2,WINDPOWER,439,2010,0
Simplicity2,WINDPOWER,440,2010,0
Simplicity2,WINDPOWER,441,2010,0.065749562
Simplicity2,WINDPOWER,442,2010,0.106469057
Simplicity2,WINDPOWER,443,2010,0.149331815
Simplicity2,WINDPOWER,444,2010,0.215451006
Simplicity2,WINDPOWER,445,2010,0.314640269
Simplicity2,WINDPOWER,446,2010,0.314835959
Simplicity2,WINDPOWER,447,2010,0.290080079
Simplicity2,WINDPOWER,448,2010,0.17989475
Simplicity2,WINDPOWER,449,2010,0
Simplicity2,WINDPOWER,450,2010,0
Simplicity2,WINDPOWER,451,2010,0
Simplicity2,WINDPOWER,452,2010,0
Simplicity2,WINDPOWER,453,2010,0
Simplicity2,WINDPOWER,454,2010,0
Simplicity2,WINDPOWER,455,2010,0
Simplicity2,WINDPOWER,456,2010,0
Simplicity2,WINDPOWER,457,2010,0
Simplicity2,WINDPOWER,458,2010,0
Simplicity2,WINDPOWER,459,2010,0
Simplicity2,WINDPOWER,460,2010,0
Simplicity2,WINDPOWER,461,2010,0
Simplicity2,WINDPOWER,462,2010,0
Simplicity2,WINDPOWER,463,2010,0
Simplicity2,WINDPOWER,464,2010,0
Simplicity2,WINDPOWER,465,2010,0.158053414
Simplicity2,WINDPOWER,466,2010,0.278132555
Simplicity2,WINDPOWER,467,2010,0.436145177
Simplicity2,WINDPOWER,468,2010,0.57745295
Simplicity2,WINDPOWER,469,2010,0.614109641
Simplicity2,WINDPOWER,470,2010,0.440142699
Simplicity2,WINDPOWER,471,2010,0.303683783
Simplicity2,WINDPOWER,472,2010,0.182469156
Simplicity2,WINDPOWER,473,2010,0
Simplicity2,WINDPOWER,474,2010,0
Simplicity2,WINDPOWER,475,2010,0
Simplicity2,WINDPOWER,476,2010,0
Simplicity2,WINDPOWER,477,2010,0
Simplicity2,WINDPOWER,478,2010,0
Simplicity2,WINDPOWER,479,2010,0
Simplicity2,WINDPOWER,480,2010,0
Simplicity2,WINDPOWER,481,2010,0
Simplicity2,WINDPOWER,482,2010,0
Simplicity2,WINDPOWER,483,2010,0
Simplicity2,WINDPOWER,484,2010,0
Simplicity2,WINDPOWER,485,2010,0
Simplicity2,WINDPOWER,486,2010,0
Simplicity2,WINDPOWER,487,2010,0
Simplicity2,WINDPOWER,488,2010,0
Simplicity2,WINDPOWER,489,2010,0.123957244
Simplicity2,WINDPOWER,490,2010,0.278709323
Simplicity2,WINDPOWER,491,2010,0.488859053
Simplicity2,WINDPOWER,492,2010,0.53461623
Simplicity2,WINDPOWER,493,2010,0.596826747
Simplicity2,WINDPOWER,494,2010,0.61093968
Simplicity2,WINDPOWER,495,2010,0.42284642
Simplicity2,WINDPOWER,496,2010,0.248841
Simplicity2,WINDPOWER,497,2010,0
Simplicity2,WINDPOWER,498,2010,0
Simplicity2,WINDPOWER,499,2010,0
Simplicity2,WINDPOWER,500,2010,0
Simplicity2,WINDPOWER,501,2010,0
Simplicity2,WINDPOWER,502,2010,0
Simplicity2,WINDPOWER,503,2010,0
Simplicity2,WINDPOWER,504,2010,0
Simplicity2,WINDPOWER,505,2010,0
Simplicity2,WINDPOWER,506,2010,0
Simplicity2,WINDPOWER,507,2010,0
Simplicity2,WINDPOWER,508,2010,0
Simplicity2,WINDPOWER,509,2010,0
Simplicity2,WINDPOWER,510,2010,0
Simplicity2,WINDPOWER,511,2010,0
Simplicity2,WINDPOWER,512,2010,0
Simplicity2,WINDPOWER,513,2010,0.326681417
Simplicity2,WINDPOWER,514,2010,0.541371809
Simplicity2,WINDPOWER,515,2010,0.687878898
Simplicity2,WINDPOWER,516,2010,0.762108777
Simplicity2,WINDPOWER,517,2010,0.740178355
Simplicity2,WINDPOWER,518,2010,0.676325079
Simplicity2,WINDPOWER,519,2010,0.522586221
Simplicity2,WINDPOWER,520,2010,0.289241877
Simplicity2,WINDPOWER,521,2010,0
Simplicity2,WINDPOWER,522,2010,0
Simplicity2,WINDPOWER,523,2010,0
Simplicity2,WINDPOWER,524,2010,0
Simplicity2,WINDPOWER,525,2010,0
Simplicity2,WINDPOWER,526,2010,0
Simplicity2,WINDPOWER,527,2010,0
Simplicity2,WINDPOWER,528,2010,0
Simplicity2,WINDPOWER,529,2010,0
Simplicity2,WINDPOWER,530,2010,0
Simplicity2,WINDPOWER,531,2010,0
Simplicity2,WINDPOWER,532,2010,0
Simplicity2,WINDPOWER,533,2010,0
Simplicity2,WINDPOWER,534,2010,0
Simplicity2,WINDPOWER,535,2010,0
Simplicity2,WINDPOWER,536,2010,0
Simplicity2,WINDPOWER,537,2010,0.325738506
Simplicity2,WINDPOWER,538,2010,0.54053918
Simplicity2,WINDPOWER,539,2010,0.690223305
Simplicity2,WINDPOWER,540,2010,0.761464202
Simplicity2,WINDPOWER,541,2010,0.756493585
Simplicity2,WINDPOWER,542,2010,0.678809195
Simplicity2,WINDPOWER,543,2010,0.5281665
Simplicity2,WINDPOWER,544,2010,0.300915226
Simplicity2,WINDPOWER,545,2010,0
Simplicity2,WINDPOWER,546,2010,0
Simplicity2,WINDPOWER,547,2010,0
Simplicity2,WINDPOWER,548,2010,0
Simplicity2,WINDPOWER,549,2010,0
Simplicity2,WINDPOWER,550,2010,0
Simplicity2,WINDPOWER,551,2010,0
Simplicity2,WINDPOWER,552,2010,0
Simplicity2,WINDPOWER,553,2010,0
Simplicity2,WINDPOWER,554,2010,0
Simplicity2,WINDPOWER,555,2010,0
Simplicity2,WINDPOWER,556,2010,0
Simplicity2,WINDPOWER,557,2010,0
Simplicity2,WINDPOWER,558,2010,0
Simplicity2,WINDPOWER,559,2010,0
Simplicity2,WINDPOWER,560,2010,0
Simplicity2,WINDPOWER,561,2010,0.070886552
Simplicity2,WINDPOWER,562,2010,0.167684198
Simplicity2,WINDPOWER,563,2010,0.307632622
Simplicity2,WINDPOWER,564,2010,0.421185464
Simplicity2,WINDPOWER,565,2010,0.618242987
Simplicity2,WINDPOWER,566,2010,0.551276055
Simplicity2,WINDPOWER,567,2010,0.408390201
Simplicity2,WINDPOWER,568,2010,0.243411108
Simplicity2,WINDPOWER,569,2010,0
Simplicity2,WINDPOWER,570,2010,0
Simplicity2,WINDPOWER,571,2010,0
Simplicity2,WINDPOWER,572,2010,0
Simplicity2,WINDPOWER,573,2010,0
Simplicity2,WINDPOWER,574,2010,0
Simplicity2,WINDPOWER,575,2010,0
Simplicity2,WINDPOWER,576,2010,0
Simplicity2,WINDPOWER,577,2010,0
Simplicity2,WINDPOWER,578,2010,0
Simplicity2,WINDPOWER,579,2010,0
Simplicity2,WINDPOWER,580,2010,0
Simplicity2,WINDPOWER,581,2010,0
