,lcoe,capex,fom,vom,CF_mean,Cluster_No,potential_capacity,Country,nearest_connection_point,nearest_connection_distance,Rank,Operational_life
0,0.10302462534923042,1.56455696742041,0,0.0404,0.12664016127621935,1,3306.770610742748,Albania,POINT (19.4569650000000003 40.3272422000000006),0.22090918651301086,1,20
1,0.29958694839069977,1.56455696742041,0,0.0404,0.04109898197964652,2,2131.292733702466,Albania,POINT (19.7311003999999990 40.2216491000000005),0.03407298652848046,2,20
3,0.915033306749268,1.56455696742041,0,0.0404,0.013399817282285939,4,406.34842688368957,Albania,POINT (20.1923701109317335 41.8397052149180055),0.10662190064666013,3,20
2,1.0203637172894835,1.56455696742041,0,0.0404,0.01250655035410995,3,567.2055348160353,Albania,POINT (20.1923701109317335 41.8397052149180055),0.10662190064666013,4,20
