,lcoe,capex,fom,vom,CF_mean,Cluster_No,potential_capacity,Country,nearest_connection_point,nearest_connection_distance,Rank,Operational_life
0,0.04007248359049618,1.3665982035504765,0,0.0238,0.22740199467315556,1,2747.216773472567,Albania,POINT (19.5260746000000012 41.2469587000000004),0.02625136702821509,1,20
1,0.041248790549393705,1.3665982035504765,0,0.0238,0.2236046430967045,2,1826.9659772243547,Albania,POINT (19.6702631011420017 40.9781246565059405),0.08268315241011158,2,20
3,0.0442617070487322,1.3665982035504765,0,0.0238,0.21493696194789294,4,425.8172493030779,Albania,POINT (19.4535452670826992 42.2445163653629336),0.04677726434124369,3,20
