time,PeaceRiver_1,CentralOkanagan_1,Thompson-Nicola_1
2023-01-01 00:00:00,0.7213027699219895,0.14981257041295368,0.08558774459768427
2023-01-01 01:00:00,0.7432745025710887,0.1728176838159561,0.08550568665518903
2023-01-01 02:00:00,0.729430089272469,0.13504809866348902,0.0693765071282784
2023-01-01 03:00:00,0.6941643098427588,0.1825459219018618,0.0907148956146204
2023-01-01 04:00:00,0.7292561025109634,0.2235585617025693,0.09187469199751365
2023-01-01 05:00:00,0.7602803596961927,0.16192521601915358,0.07132100143215873
2023-01-01 06:00:00,0.7734028685559711,0.09422087167700133,0.06763268947149768
2023-01-01 07:00:00,0.7910611328213326,0.07100342283646266,0.07020795862331534
2023-01-01 08:00:00,0.7737939190361872,0.05413527165850004,0.08192636836433047
2023-01-01 09:00:00,0.7926580401887019,0.09806653976440428,0.11121163907601977
2023-01-01 10:00:00,0.8135278284289392,0.1773934871951739,0.1434072026384599
2023-01-01 11:00:00,0.8251609765756203,0.19577074686686194,0.1489969782215176
2023-01-01 12:00:00,0.8074473245477818,0.08559585923949876,0.12404444506674096
2023-01-01 13:00:00,0.7773612385638144,0.01409866804877917,0.07211385826269788
2023-01-01 14:00:00,0.7805823077369167,0.00012726927796999612,0.04510194060928893
2023-01-01 15:00:00,0.7536914553735626,0.0018013601501782736,0.04654918784444982
2023-01-01 16:00:00,0.7753450550264619,0.0,0.07196453450529862
2023-01-01 17:00:00,0.8016064068208258,0.0,0.10083252199219934
2023-01-01 18:00:00,0.8150516895393288,0.002789229899644851,0.11336180219821856
2023-01-01 19:00:00,0.8228248224272781,0.015602934559186299,0.14723800124092534
2023-01-01 20:00:00,0.8080868733539635,0.047636485149463025,0.17454940890272455
2023-01-01 21:00:00,0.7921320393932871,0.044564297199249266,0.19115339995559413
2023-01-01 22:00:00,0.781431243071355,0.021065242489178976,0.2036562043473576
2023-01-01 23:00:00,0.7678434516543363,0.040766680737336476,0.23481024319475344
2023-01-02 00:00:00,0.7432172090892329,0.06286331300934155,0.24644238519623424
2023-01-02 01:00:00,0.6968090965661656,0.05434616625308991,0.27570090991981105
2023-01-02 02:00:00,0.6335997647226574,0.10260488634308179,0.32034733340144145
2023-01-02 03:00:00,0.6561089778305533,0.2208259761333465,0.353344765878988
2023-01-02 04:00:00,0.6435596070088534,0.17249470432599381,0.3485168075064817
2023-01-02 05:00:00,0.6311557066620112,0.17915711303551993,0.36269350602319744
2023-01-02 06:00:00,0.5919490995464555,0.19266544232765834,0.3759481911180596
2023-01-02 07:00:00,0.5406072185017974,0.18594034741322196,0.3662482598514267
2023-01-02 08:00:00,0.4865609243889169,0.14426673183838526,0.3209371689300644
2023-01-02 09:00:00,0.47278250199304983,0.08629497503240903,0.28972360899051036
2023-01-02 10:00:00,0.49132401063858727,0.0649441555639108,0.2944003867967561
2023-01-02 11:00:00,0.4062358566400516,0.08123240957657497,0.30510274469400894
2023-01-02 12:00:00,0.29940020437520665,0.06735891009370486,0.27019662591995613
2023-01-02 13:00:00,0.2848576544602233,0.0564149293800195,0.23198907132853164
2023-01-02 14:00:00,0.260202921444034,0.05934623753031095,0.2030012758482586
2023-01-02 15:00:00,0.20777927709451643,0.09909410938620566,0.1893195051767609
2023-01-02 16:00:00,0.21779100635055312,0.11927775844931603,0.21771527131850066
2023-01-02 17:00:00,0.21024545803037756,0.1166173248986403,0.24135263256502876
2023-01-02 18:00:00,0.15756039687578216,0.09464496865868567,0.24760680780266273
2023-01-02 19:00:00,0.18198718161019212,0.09268743162353832,0.2494251398561578
2023-01-02 20:00:00,0.2503505122894982,0.08490452681978544,0.2215386331487786
2023-01-02 21:00:00,0.2643657416446381,0.06425795257091522,0.20841852182691747
2023-01-02 22:00:00,0.267780284418399,0.05234137828151384,0.1977777509978323
2023-01-02 23:00:00,0.2974584023295396,0.051630910386641825,0.19070485087732475
2023-01-03 00:00:00,0.3140296882983429,0.04050245573123296,0.18188068453109626
2023-01-03 01:00:00,0.33070455342710736,0.059390180706977845,0.19656316732592646
2023-01-03 02:00:00,0.31896398662443604,0.07683883582552274,0.20069950029705508
2023-01-03 03:00:00,0.24001542403755416,0.19478284140427904,0.23625754994424897
2023-01-03 04:00:00,0.24025960542351357,0.10765849391619364,0.2189230072182236
2023-01-03 05:00:00,0.26284957593643515,0.08857885102430979,0.20649521776221014
2023-01-03 06:00:00,0.2919024232945528,0.11262443835536638,0.22017559673298484
2023-01-03 07:00:00,0.3014667333204702,0.11203312501311302,0.25007902368000057
2023-01-03 08:00:00,0.3164948257920611,0.12602340747912724,0.2635433443703435
2023-01-03 09:00:00,0.31028053663042654,0.13480595658222835,0.27279063753106375
2023-01-03 10:00:00,0.2944112348269265,0.132683777064085,0.25421845153425676
2023-01-03 11:00:00,0.28478081808930394,0.14071021825075147,0.24070658986315577
2023-01-03 12:00:00,0.26520152764866145,0.14907332494854927,0.2070524147085168
2023-01-03 13:00:00,0.2596976676224226,0.10520855034391086,0.14908698454499242
2023-01-03 14:00:00,0.24413315422563658,0.10611581166585286,0.11606134752432508
2023-01-03 15:00:00,0.20473794172416968,0.17310425614317257,0.11605034168470985
2023-01-03 16:00:00,0.22405699697872963,0.13826898644367852,0.14258454766688927
2023-01-03 17:00:00,0.2554811500533516,0.10618207474549611,0.1396819553456523
2023-01-03 18:00:00,0.27487909198345917,0.0765454481045405,0.1342694668787898
2023-01-03 19:00:00,0.27839642342224896,0.0769098560512066,0.1358002712871089
2023-01-03 20:00:00,0.3030086922466037,0.06199405347307523,0.12977159567628846
