cluster_id,lcoe,capex,fom,vom,CF_mean,Cluster_No,potential_capacity,Region,nearest_station,nearest_station_distance_km,Rank,Operational_life,resource_type
Middlesex_1,42.679825090900515,1.3665982035504765,0.0,0.0238,0.21088135446386067,1,1567.1613704796714,Middlesex,ON_DUA_DSS,8.553313947868443,1,20,solar
Elgin_1,42.70996353057482,1.3665982035504765,0.0,0.0238,0.2103159220947902,1,2848.9733450175354,Elgin,ON_AYL_DSS,2.741185595084163,2,20,solar
Middlesex_2,43.83248682165588,1.3665982035504765,0.0,0.0238,0.20660962007118897,2,583.8652845027937,Middlesex,ON_LGW_DSS,9.024695516495377,4,20,solar
