time,Middlesex_1,Elgin_1,Middlesex_2
2023-01-06 22:00:00,0.3415801020533988,0.34058852106606896,0.40272634489851106
2023-01-06 23:00:00,0.3027394763706189,0.29321951248824013,0.2929418249176848
2023-01-07 00:00:00,0.28462290724125316,0.28213577650703237,0.2038576150809429
2023-01-07 01:00:00,0.32111555632329264,0.31581125712752284,0.2860255542532719
2023-01-07 02:00:00,0.26205178677609386,0.2648767229114023,0.27565174161650724
2023-01-07 03:00:00,0.1308999074558583,0.1374208598124585,0.14125474062179155
2023-01-07 04:00:00,0.0,0.0,0.0
2023-01-07 05:00:00,0.0,0.0,0.0
2023-01-07 06:00:00,0.0,0.0,0.0
2023-01-07 07:00:00,0.0,0.0,0.0
2023-01-07 08:00:00,0.0,0.0,0.0
2023-01-07 09:00:00,0.0,0.0,0.0
2023-01-07 10:00:00,0.0,0.0,0.0
2023-01-07 11:00:00,0.0,0.0,0.0
2023-01-07 12:00:00,0.0,0.0,0.0
2023-01-07 13:00:00,0.0,0.0,0.0
2023-01-07 14:00:00,0.0,0.0,0.0
2023-01-07 15:00:00,0.0,0.0,0.0
2023-01-07 16:00:00,0.0,0.0,0.0
2023-01-07 17:00:00,0.0,0.0,0.0
2023-01-07 18:00:00,0.0,0.0,0.0
2023-01-07 19:00:00,0.07575791784257768,0.08597149280089947,0.06532670175265093
2023-01-07 20:00:00,0.16811578582330436,0.1685865575621491,0.13820145062922135
2023-01-07 21:00:00,0.3516830498744636,0.33964251093284326,0.3094065588300692
2023-01-07 22:00:00,0.3411017465644662,0.32900843431578675,0.25376881160495746
2023-01-07 23:00:00,0.29881341391792676,0.28657885948587175,0.22363303253905562
2023-01-08 00:00:00,0.1622353060413981,0.15869688653862718,0.13309170764363373
2023-01-08 01:00:00,0.17302172402813687,0.16984902284525538,0.14771232986318908
2023-01-08 02:00:00,0.1448572023162996,0.13273051948760436,0.08408490341784429
2023-01-08 03:00:00,0.03734151247298102,0.039158233971332924,0.019192070713543348
2023-01-08 04:00:00,0.0,0.0,0.0
2023-01-08 05:00:00,0.0,0.0,0.0
2023-01-08 06:00:00,0.0,0.0,0.0
2023-01-08 07:00:00,0.0,0.0,0.0
2023-01-08 08:00:00,0.0,0.0,0.0
2023-01-08 09:00:00,0.0,0.0,0.0
2023-01-08 10:00:00,0.0,0.0,0.0
2023-01-08 11:00:00,0.0,0.0,0.0
2023-01-08 12:00:00,0.0,0.0,0.0
2023-01-08 13:00:00,0.0,0.0,0.0
2023-01-08 14:00:00,0.0,0.0,0.0
2023-01-08 15:00:00,0.0,0.0,0.0
2023-01-08 16:00:00,0.0,0.0,0.0
2023-01-08 17:00:00,0.0,0.0,0.0
2023-01-08 18:00:00,0.0,0.0,0.0
2023-01-08 19:00:00,0.0422467553967282,0.050525573251188484,0.034017612012779405
2023-01-08 20:00:00,0.09156534030010628,0.09813453882109414,0.09427253116192753
2023-01-08 21:00:00,0.1595857780950941,0.16639144573607473,0.1363174556313063
2023-01-08 22:00:00,0.19085316714286146,0.20071923818612764,0.1822866094909322
2023-01-08 23:00:00,0.3243440916159654,0.3263506425724846,0.3271350145028255
2023-01-09 00:00:00,0.16403417712692778,0.16278704557360332,0.15710635731345865
2023-01-09 01:00:00,0.13572994625933094,0.13224914617647335,0.13632951178955918
2023-01-09 02:00:00,0.11773958077332908,0.11565007393573665,0.10804091837802132
2023-01-09 03:00:00,0.056230979461041546,0.05892924038492446,0.03396575582906263
2023-01-09 04:00:00,0.0,0.0,0.0
2023-01-09 05:00:00,0.0,0.0,0.0
2023-01-09 06:00:00,0.0,0.0,0.0
2023-01-09 07:00:00,0.0,0.0,0.0
2023-01-09 08:00:00,0.0,0.0,0.0
2023-01-09 09:00:00,0.0,0.0,0.0
2023-01-09 10:00:00,0.0,0.0,0.0
2023-01-09 11:00:00,0.0,0.0,0.0
2023-01-09 12:00:00,0.0,0.0,0.0
2023-01-09 13:00:00,0.0,0.0,0.0
2023-01-09 14:00:00,0.0,0.0,0.0
2023-01-09 15:00:00,0.0,0.0,0.0
2023-01-09 16:00:00,0.0,0.0,0.0
2023-01-09 17:00:00,0.0,0.0,0.0
2023-01-09 18:00:00,0.0,0.0,0.0
2023-01-09 19:00:00,0.30163872891265825,0.30310159744195736,0.32880561442799433
2023-01-09 20:00:00,0.44593559918483267,0.4398409836421169,0.44275095560620503
2023-01-09 21:00:00,0.5920097781276613,0.5959201177998625,0.6210688745156412
2023-01-09 22:00:00,0.6710402215776687,0.6805694550466389,0.7042672642796903
2023-01-09 23:00:00,0.7366357161147695,0.7364473402281064,0.754248781813666
2023-01-10 00:00:00,0.6769542014909211,0.6718281691590273,0.7216661089128907
2023-01-10 01:00:00,0.5672973658343962,0.5578008402027742,0.5594736605891684
2023-01-10 02:00:00,0.3663754570195799,0.3649849598339704,0.37729590768289456
2023-01-10 03:00:00,0.3406416375660299,0.3226879621027928,0.29343591926452334
2023-01-10 04:00:00,0.0,0.0,0.0
2023-01-10 05:00:00,0.0,0.0,0.0
2023-01-10 06:00:00,0.0,0.0,0.0
2023-01-10 07:00:00,0.0,0.0,0.0
2023-01-10 08:00:00,0.0,0.0,0.0
2023-01-10 09:00:00,0.0,0.0,0.0
2023-01-10 10:00:00,0.0,0.0,0.0
2023-01-10 11:00:00,0.0,0.0,0.0
2023-01-10 12:00:00,0.0,0.0,0.0
2023-01-10 13:00:00,0.0,0.0,0.0
2023-01-10 14:00:00,0.0,0.0,0.0
2023-01-10 15:00:00,0.0,0.0,0.0
2023-01-10 16:00:00,0.0,0.0,0.0
2023-01-10 17:00:00,0.0,0.0,0.0
2023-01-10 18:00:00,0.0,0.0,0.0
2023-01-10 19:00:00,0.11461470267208229,0.10852677185624862,0.09459093705029463
2023-01-10 20:00:00,0.25691350370278804,0.24181901216611687,0.20818373688374367
2023-01-10 21:00:00,0.25666773062815845,0.24841259770360158,0.19809970608339925
2023-01-10 22:00:00,0.4087997393083885,0.3986244617413629,0.3823930630630767
2023-01-10 23:00:00,0.2983876495406663,0.29629031994202604,0.29883036249329215
2023-01-11 00:00:00,0.319100285511275,0.3218865088758785,0.3039643209646505
2023-01-11 01:00:00,0.14918164911313045,0.1553571160504331,0.14876973399218152
2023-01-11 02:00:00,0.2466191713555382,0.2369403142675799,0.21418375827215275
2023-01-11 03:00:00,0.22174371419407826,0.2106464076065923,0.20324150471107053
2023-01-11 04:00:00,0.0,0.0,0.0
2023-01-11 05:00:00,0.0,0.0,0.0
2023-01-11 06:00:00,0.0,0.0,0.0
2023-01-11 07:00:00,0.0,0.0,0.0
2023-01-11 08:00:00,0.0,0.0,0.0
2023-01-11 09:00:00,0.0,0.0,0.0
2023-01-11 10:00:00,0.0,0.0,0.0
2023-01-11 11:00:00,0.0,0.0,0.0
2023-01-11 12:00:00,0.0,0.0,0.0
2023-01-11 13:00:00,0.0,0.0,0.0
2023-01-11 14:00:00,0.0,0.0,0.0
2023-01-11 15:00:00,0.0,0.0,0.0
2023-01-11 16:00:00,0.0,0.0,0.0
2023-01-11 17:00:00,0.0,0.0,0.0
2023-01-11 18:00:00,0.0,0.0,0.0
2023-01-11 19:00:00,0.07363315207580966,0.07312971996849739,0.07508847834484159
2023-01-11 20:00:00,0.07030921890505894,0.07093878581054303,0.06617811235273406
2023-01-11 21:00:00,0.11654988010501398,0.11718702843882604,0.11674363430936646
2023-01-11 22:00:00,0.14042022321629286,0.1404068822871678,0.14188021302427817
2023-01-11 23:00:00,0.24496287783035356,0.23888751202625205,0.23446325361592657
2023-01-12 00:00:00,0.24508372814781323,0.2386609625392687,0.24444525917023904
2023-01-12 01:00:00,0.2728828415053242,0.26698193383659974,0.29631341221027685
2023-01-12 02:00:00,0.20137099568844918,0.2021306594130142,0.2338050846406807
2023-01-12 03:00:00,0.020385004326765026,0.027801528612054975,0.016306845807775194
2023-01-12 04:00:00,0.0,0.0,0.0
2023-01-12 05:00:00,0.0,0.0,0.0
2023-01-12 06:00:00,0.0,0.0,0.0
2023-01-12 07:00:00,0.0,0.0,0.0
2023-01-12 08:00:00,0.0,0.0,0.0
2023-01-12 09:00:00,0.0,0.0,0.0
2023-01-12 10:00:00,0.0,0.0,0.0
2023-01-12 11:00:00,0.0,0.0,0.0
2023-01-12 12:00:00,0.0,0.0,0.0
2023-01-12 13:00:00,0.0,0.0,0.0
2023-01-12 14:00:00,0.0,0.0,0.0
2023-01-12 15:00:00,0.0,0.0,0.0
2023-01-12 16:00:00,0.0,0.0,0.0
2023-01-12 17:00:00,0.0,0.0,0.0
2023-01-12 18:00:00,0.0,0.0,0.0
2023-01-12 19:00:00,0.0018966916817088324,0.00270083336319745,0.005860114966185284
2023-01-12 20:00:00,0.011956015483172643,0.013244827127176242,0.01817538817181312
2023-01-12 21:00:00,0.051087979757450865,0.0542447561819126,0.07724567244406604
2023-01-12 22:00:00,0.07438139072704214,0.07501544697863188,0.09325366844984073
2023-01-12 23:00:00,0.053625627885434096,0.05536800365880297,0.06800950988286225
2023-01-13 00:00:00,0.05931155185543722,0.06036584938857266,0.06760210165436183
2023-01-13 01:00:00,0.02210785665055327,0.022263463544098888,0.02483569418064836
2023-01-13 02:00:00,0.009693994467493689,0.009796822598187606,0.012390662432168879
2023-01-13 03:00:00,0.00010761174218513782,0.00021332663679259458,0.0005036674399753968
2023-01-13 04:00:00,0.0,0.0,0.0
2023-01-13 05:00:00,0.0,0.0,0.0
2023-01-13 06:00:00,0.0,0.0,0.0
2023-01-13 07:00:00,0.0,0.0,0.0
2023-01-13 08:00:00,0.0,0.0,0.0
2023-01-13 09:00:00,0.0,0.0,0.0
2023-01-13 10:00:00,0.0,0.0,0.0
2023-01-13 11:00:00,0.0,0.0,0.0
2023-01-13 12:00:00,0.0,0.0,0.0
2023-01-13 13:00:00,0.0,0.0,0.0
2023-01-13 14:00:00,0.0,0.0,0.0
2023-01-13 15:00:00,0.0,0.0,0.0
2023-01-13 16:00:00,0.0,0.0,0.0
2023-01-13 17:00:00,0.0,0.0,0.0
2023-01-13 18:00:00,0.0,0.0,0.0
2023-01-13 19:00:00,0.08484018677729477,0.08159549251773855,0.07775516468258213
2023-01-13 20:00:00,0.2294809433648637,0.219016028966366,0.232831531825041
2023-01-13 21:00:00,0.2148276446373827,0.2073968004385549,0.22573068182385422
2023-01-13 22:00:00,0.24592696154554364,0.24031210414766643,0.21184088553287386
2023-01-13 23:00:00,0.3165041294423608,0.30163080546069787,0.30792287041515054
2023-01-14 00:00:00,0.10522336754345352,0.10314725551804282,0.0987903141606385
2023-01-14 01:00:00,0.0937665566791394,0.09623095365135695,0.09586170665517792
2023-01-14 02:00:00,0.11114060609143835,0.10887578383310773,0.10296399385867694
2023-01-14 03:00:00,0.052720528165496744,0.05584062211346842,0.05093421109110926
2023-01-14 04:00:00,0.0,0.0,0.0
2023-01-14 05:00:00,0.0,0.0,0.0
2023-01-14 06:00:00,0.0,0.0,0.0
2023-01-14 07:00:00,0.0,0.0,0.0
2023-01-14 08:00:00,0.0,0.0,0.0
2023-01-14 09:00:00,0.0,0.0,0.0
2023-01-14 10:00:00,0.0,0.0,0.0
2023-01-14 11:00:00,0.0,0.0,0.0
2023-01-14 12:00:00,0.0,0.0,0.0
2023-01-14 13:00:00,0.0,0.0,0.0
2023-01-14 14:00:00,0.0,0.0,0.0
2023-01-14 15:00:00,0.0,0.0,0.0
2023-01-14 16:00:00,0.0,0.0,0.0
2023-01-14 17:00:00,0.0,0.0,0.0
2023-01-14 18:00:00,0.0,0.0,0.0
2023-01-14 19:00:00,0.2843109429696165,0.2741866909682479,0.2579619695492335
2023-01-14 20:00:00,0.4430946306368451,0.4279041137386582,0.3734992327969125
2023-01-14 21:00:00,0.5601591846705366,0.549514838285029,0.49731836398259527
