atb_year,core_metric_key,core_metric_parameter,core_metric_case,tax_credit_case,crpyears,technology,technology_alias,techdetail,techdetail2,resourcedetail,display_name,default,scale,maturity,scenario,core_metric_variable,units,value
2024,63505,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Moderate,2024,$/kW,2481.3843540606354
2024,63535,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Moderate,2024,$/kW-yr,62.03460885151589
2024,63580,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Moderate,2024,$/kW,2675.7105357394853
