atb_year,core_metric_key,core_metric_parameter,core_metric_case,tax_credit_case,crpyears,technology,technology_alias,techdetail,techdetail2,resourcedetail,display_name,default,scale,maturity,scenario,core_metric_variable,units,value
2024,45121,OCC,Market,PTC,20,LandbasedWind,Land-Based Wind,Class9,Wind Turbine Technology 3,Class9,Land-Based Wind - Class 9 - Technology 3,0,Utility,Y,Moderate,2024,$/kW,1564.55696742041
2024,45181,Fixed O&M,Market,PTC,20,LandbasedWind,Land-Based Wind,Class9,Wind Turbine Technology 3,Class9,Land-Based Wind - Class 9 - Technology 3,0,Utility,Y,Moderate,2024,$/kW-yr,40.4273606814228
2024,45301,CAPEX,Market,PTC,20,LandbasedWind,Land-Based Wind,Class9,Wind Turbine Technology 3,Class9,Land-Based Wind - Class 9 - Technology 3,0,Utility,Y,Moderate,2024,$/kW,1764.3639657311635
