time,PeaceRiver_-121.0_56.0,PeaceRiver_-120.75_56.0,Thompson-Nicola_-121.0_50.5,Thompson-Nicola_-120.5_50.25,Thompson-Nicola_-120.25_50.0,Fraser-FortGeorge_-122.25_53.5,Comox-Strathcona_-126.0_50.25,Thompson-Nicola_-120.25_50.0,Bulkley-Nechako_-124.75_54.0
2023-09-16 01:00:00,0.27616699188947674,0.31029670715332025,0.016782129406929018,0.08594728887081146,0.07136521235108376,0.0035311903804540632,0.0,0.07136521235108376,0.06614636421203614
2023-09-16 02:00:00,0.3256954193115234,0.36053077697753905,0.01420456439256668,0.08156494438648224,0.08128613829612732,0.0,0.0,0.08128613829612732,0.033200866878032684
2023-09-16 03:00:00,0.34133819580078123,0.36769691467285154,0.018613261282444,0.08401158452033997,0.10050961330533027,0.0,0.0,0.10050961330533027,0.01539694219827652
2023-09-16 04:00:00,0.35682243347167963,0.36481246948242185,0.012558748722076416,0.06703153654932975,0.08749176532030105,0.0,0.0,0.08749176532030105,0.0030334141105413433
2023-09-16 05:00:00,0.2916789788007736,0.2916925531625747,0.008163793683052062,0.052354826480150225,0.07793972522020338,0.0,0.0,0.07793972522020338,0.0
2023-09-16 06:00:00,0.21576832920312877,0.21469900310039516,0.007238413989543915,0.04101259052753449,0.06759839862585068,0.0,0.0,0.06759839862585068,0.0
2023-09-16 07:00:00,0.1634582409262657,0.16895372629165648,0.009782773852348327,0.028450067043304446,0.0427587303519249,0.0,0.0,0.0427587303519249,0.0
2023-09-16 08:00:00,0.12715685218572614,0.13652420967817305,0.01917525112628937,0.023758011460304262,0.035423797070980076,0.0,0.0,0.035423797070980076,0.0
2023-09-16 09:00:00,0.0559869047999382,0.06493055790662766,0.006707734018564224,0.0061827366799116126,0.026039357483386996,0.0,0.0,0.026039357483386996,0.0
2023-09-16 10:00:00,0.07196767941117287,0.08692071944475174,0.0014748112857341765,0.002547117471694946,0.005143118053674698,0.0,0.0,0.005143118053674698,0.0
2023-09-16 11:00:00,0.053941425532102585,0.06604034617543221,0.0041495499014854425,0.017877838909626007,0.03128966063261032,0.00169782355427742,0.0,0.03128966063261032,0.0018181686103343963
2023-09-16 12:00:00,0.04391766920685768,0.04927498117089272,0.014155854284763337,0.05692407578229904,0.04823887899518013,0.02450886964797974,0.0,0.04823887899518013,0.0024312929809093475
2023-09-16 13:00:00,0.03461897403001786,0.0357623565196991,0.04325366169214249,0.08612283766269684,0.057650861442089085,0.07457623541355132,0.0,0.057650861442089085,0.0017745206505060194
2023-09-16 14:00:00,0.015486800074577332,0.015348327159881592,0.09153943434357642,0.11873183220624922,0.06911865457892417,0.10212820276618004,0.0,0.06911865457892417,0.0012526678293943404
2023-09-16 15:00:00,0.006962066367268562,0.0067145834118127815,0.1681729906797409,0.18828818112611767,0.09842021837830543,0.1854223400354385,0.0,0.09842021837830543,0.0020438472926616667
2023-09-16 16:00:00,0.0037173698097467418,0.002813926786184311,0.25885070770978924,0.27174790441989893,0.15595661371946334,0.1686585313081741,0.0,0.15595661371946334,0.0026845371723175047
2023-09-16 17:00:00,0.003218759000301361,0.001285322830080986,0.24127932906150815,0.2591355967521667,0.17961769610643386,0.08459438487887383,0.026648164689540867,0.17961769610643386,0.024968893229961396
2023-09-16 18:00:00,0.0,0.0,0.2144922816753387,0.2614523836970329,0.2072381657361984,0.025862269103527073,0.038298471271991735,0.2072381657361984,0.11933990120887755
2023-09-16 19:00:00,0.0,0.0004909834265708923,0.15292957901954649,0.1705369186401367,0.16873827069997785,0.002385526970028877,0.028195116817951206,0.16873827069997785,0.1715662631392479
2023-09-16 20:00:00,0.0,0.00705232173204422,0.0989733336865902,0.12731886237859724,0.1126134568452835,0.0,0.004467211291193962,0.1126134568452835,0.10154867544770241
2023-09-16 21:00:00,0.0,0.003801762834191322,0.09352289661765098,0.1401115024089813,0.11629036962985992,0.007116906866431236,0.0,0.11629036962985992,0.04277771830558777
2023-09-16 22:00:00,0.0031348200887441635,0.00230224609375,0.10775168120861053,0.17277737915515898,0.17076637864112854,0.1871496185660362,0.0,0.17076637864112854,0.06278919279575348
2023-09-16 23:00:00,0.010901628434658051,0.003661651015281677,0.11290024101734161,0.210455749630928,0.23282393962144848,0.17940489441156385,0.0005836567282676696,0.23282393962144848,0.11213938921689987
2023-09-17 00:00:00,0.019086058735847476,0.00467296727001667,0.10932413548231124,0.22755547672510143,0.25521082311868665,0.03806708961725235,0.0006158233433961867,0.25521082311868665,0.13620006680488586
2023-09-17 01:00:00,0.038323802947998045,0.018202786147594453,0.10124086737632751,0.23002652823925016,0.26194330394268034,0.0007135501503944395,0.0019084222614765168,0.26194330394268034,0.12653138995170593
2023-09-17 02:00:00,0.118410424888134,0.08266838580369949,0.08337206095457077,0.22160760551691053,0.25425256520509715,0.0,0.0029283923655748366,0.25425256520509715,0.10035851269960402
2023-09-17 03:00:00,0.2031125950813293,0.19987982630729673,0.06005845278501511,0.15354471147060392,0.18420848846435545,0.0,0.0,0.18420848846435545,0.06156655579805374
2023-09-17 04:00:00,0.2240734803676605,0.22206050604581828,0.04064719557762146,0.17807137250900268,0.25950538307428356,0.026399126052856447,0.003379122540354728,0.25950538307428356,0.08936818495392798
2023-09-17 05:00:00,0.29446327596902844,0.281795117855072,0.03435972839593887,0.1750919038057327,0.2397615313529968,0.0878143732249737,0.003737976253032684,0.2397615313529968,0.08553360506892205
